shapeGroup,shapeID,shapeISO,shapeName,shapeType,prob0,prob1,prob2,prob3,prob4
DNK,DNK-ADM0-3_0_0-B1,DNK,Denmark,ADM0,92.06684875095867,91.14175015330382,97.83784924608358,,
DOM,DOM-ADM0-3_0_0-B1,DOM,Dominican Republic,ADM0,98.66472351366565,76.02109794465593,67.93011325010188,,
DZA,DZA-ADM0-3_0_0-B1,DZA,Algeria,ADM0,99.76028923853355,85.35200727029084,81.11906099752225,100.0,
ECU,ECU-ADM0-3_0_0-B1,ECU,Ecuador,ADM0,98.61948014004376,97.34018121798846,97.41002230365193,93.62468279527293,
EGY,EGY-ADM0-3_0_0-B1,EGY,Egypt,ADM0,98.66249583779715,93.19332337503221,98.11122920503176,,
ERI,ERI-ADM0-3_0_0-B1,ERI,Eritrea,ADM0,97.0463443290059,94.61671439717384,90.0888815098716,,
ESP,ESP-ADM0-3_0_0-B1,ESP,Spain,ADM0,99.43936768704434,67.71798150285217,99.6289705886915,45.91537405756907,
EST,EST-ADM0-3_0_0-B1,EST,Estonia,ADM0,95.55076270604462,90.48972387066945,62.62252739140772,90.2828324993158,
ETH,ETH-ADM0-3_0_0-B1,ETH,Ethiopia,ADM0,99.10967392729582,97.65816623311369,83.00645576041468,80.02430875623925,
FIN,FIN-ADM0-3_0_0-B1,FIN,Finland,ADM0,98.28578594527515,48.83993349289124,40.53346359644121,32.54754790189194,35.6462083778879
FJI,FJI-ADM0-3_0_0-B1,FJI,Fiji,ADM0,91.89433250193919,90.94630173840483,85.80765060239216,,
FRA,FRA-ADM0-3_0_0-B1,FRA,France,ADM0,86.93860239119289,54.29407154790455,88.04879258059763,84.67650952683333,46.80273095973373
FSM,FSM-ADM0-3_0_0-B1,FSM,Federated States of Micronesia,ADM0,72.1607288501565,70.15339297246715,73.05217041568746,,
GAB,GAB-ADM0-3_0_0-B1,GAB,Gabon,ADM0,97.40068940187271,95.65181288762071,84.86598493214747,,
GBR,GBR-ADM0-3_0_0-B1,GBR,United Kingdom,ADM0,98.20881465983132,57.145668835108204,96.28556758209321,18.809065003006506,
GEO,GEO-ADM0-3_0_0-B1,GEO,Georgia,ADM0,98.25702213876042,65.70937762642178,78.4509426247637,,
GHA,GHA-ADM0-3_0_0-B1,GHA,Ghana,ADM0,99.23073264482156,80.02235792733283,79.35579779756108,,
GIN,GIN-ADM0-3_0_0-B1,GIN,Guinea,ADM0,98.74365801531428,71.4771888585827,99.08299864977488,97.53942188028647,
GMB,GMB-ADM0-3_0_0-B1,GMB,Gambia,ADM0,86.91916234769249,85.58276640980209,61.66175838191985,,
GNB,GNB-ADM0-3_0_0-B1,GNB,Guinea-Bissau,ADM0,93.45563827717815,77.4962871999864,63.90743623694264,,
GNQ,GNQ-ADM0-3_0_0-B1,GNQ,Equatorial Guinea,ADM0,97.5664851203273,71.85363055036215,48.14254665169526,,
GRC,GRC-ADM0-3_0_0-B1,GRC,Greece,ADM0,96.96288294342892,76.67528316847977,97.69575021296002,56.82323298350929,
GRD,GRD-ADM0-3_0_0-B1,GRD,Grenada,ADM0,90.42545941538701,83.47362687148797,,,
GRL,GRL-ADM0-3_0_0-B1,GRL,Greenland,ADM0,86.4324108409429,91.69475263027113,,,
GTM,GTM-ADM0-3_0_0-B1,GTM,Guatemala,ADM0,98.89897227606488,96.2405781765272,87.91748696387867,,
GUY,GUY-ADM0-3_0_0-B1,GUY,Guyana,ADM0,98.74736847730061,96.80634761217902,71.41344888698322,,
HND,HND-ADM0-3_0_0-B1,HND,Honduras,ADM0,98.36755962352086,97.05573030404118,92.01278039401359,,
HRV,HRV-ADM0-3_0_0-B1,HRV,Croatia,ADM0,95.24568703485379,89.35121397003563,86.73068977922229,,
HTI,HTI-ADM0-3_0_0-B1,HTI,Haiti,ADM0,97.92056118445572,97.07511506175217,76.41229699036248,65.20231727472726,92.92856517811887
HUN,HUN-ADM0-3_0_0-B1,HUN,Hungary,ADM0,98.87616099638561,56.64583458961489,33.28794308983185,4.543470614782805,
IDN,IDN-ADM0-3_0_0-B1,IDN,Indonesia,ADM0,98.05346258217118,95.7860739155363,97.37159610566836,93.99065384083246,
IND,IND-ADM0-3_0_0-B1,IND,India,ADM0,96.70247170471944,95.85412102173768,90.3290970971971,62.75438546148786,
IRL,IRL-ADM0-3_0_0-B1,IRL,Ireland,ADM0,97.91961998773837,94.9549432008589,32.51998713818204,15.356401450507848,
IRN,IRN-ADM0-3_0_0-B1,IRN,Iran,ADM0,99.54931185840361,92.87289719911254,78.24610113134734,94.9178104937233,91.46753378274025
IRQ,IRQ-ADM0-3_0_0-B1,IRQ,Iraq,ADM0,98.94280868588054,92.01239424249073,85.71437896359862,73.67441777457464,
ISL,ISL-ADM0-3_0_0-B1,ISL,Iceland,ADM0,98.10191879182078,59.82362335027849,30.324754611528785,,
ISR,ISR-ADM0-3_0_0-B1,ISR,Israel,ADM0,95.65545618125363,92.91937380108045,34.81160546904813,,
ITA,ITA-ADM0-3_0_0-B1,ITA,Italy,ADM0,98.92359693452381,65.43526815619119,94.0437071308341,93.97910430364789,
